,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01
DG,49.83,49.83,49.83,49.83,49.83,49.83,49.83,49.16,49.16,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,47.81,47.81,48.01,48.01,48.01,47.81,47.81,47.81,47.81,47.81,47.81,47.81,47.81,47.81,47.81,46.71,17.19
DLTR,51.57,51.57,51.57,51.57,51.19,51.19,51.57,49.54,49.54,49.47,49.47,49.47,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.25,49.37,49.37,49.37,49.37,49.37,49.37,49.37,49.37,49.37,49.37,49.37,49.55,48.11,19.8
D,60.38,60.38,60.01,60.01,60.01,60.01,59.74,60.01,60.01,61.63,61.63,61.63,61.63,61.63,61.63,61.63,61.63,61.63,61.42,61.42,61.42,61.38,61.08,61.52,61.52,61.51,61.51,61.23,61.23,60.47,60.47,60.47,60.47,60.47,60.47,34.83,34.63
DPZ,43.72,43.72,43.72,43.72,43.72,43.72,43.72,43.72,43.72,43.63,43.68,43.68,43.68,43.68,43.68,43.68,43.68,43.68,43.68,43.68,43.68,43.66,43.76,45.23,45.23,45.23,44.21,44.21,44.21,44.21,44.26,44.26,44.26,44.26,44.26,43.35,27.63
DOV,63.78,63.78,63.78,63.78,63.35,63.35,63.35,63.35,63.35,63.0,63.0,63.0,63.0,63.0,55.08,55.08,55.08,55.08,55.08,55.08,55.08,54.93,54.93,54.93,54.93,54.93,54.93,54.93,55.84,55.84,55.84,55.84,55.84,55.84,55.99,54.59,32.92
DTE,66.18,66.18,66.18,66.18,66.98,66.98,66.98,66.98,68.84,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.88,68.98,69.43,69.43,71.37,71.65,71.65,71.65,71.63,71.63,71.63,71.63,71.83,71.83,71.91,30.77
DUK,57.53,57.53,57.53,57.53,57.66,57.66,57.66,59.96,59.96,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.8,62.8,63.1,63.1,63.09,63.09,63.09,63.09,63.09,63.09,63.09,63.09,63.09,63.09,33.99,33.99
DRE,52.39,52.39,52.39,52.39,52.39,52.39,52.39,52.39,52.39,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,54.39,54.39,54.39,54.15,54.15,54.15,54.15,54.15,54.15,54.15,54.15,54.15,54.15,54.88,54.88,54.88,53.32,16.92
EMN,64.74,64.74,64.74,64.74,65.0,65.0,65.0,65.0,65.0,63.69,65.65,65.65,65.65,65.65,65.65,65.65,65.69,65.69,65.69,65.69,65.69,65.42,68.29,68.26,68.26,68.26,68.49,68.49,68.49,67.92,67.92,67.92,67.92,67.92,68.02,67.39,27.71
ETN,79.7,79.7,79.7,79.7,77.31,77.31,77.31,77.31,77.28,73.63,73.63,73.63,73.63,73.63,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.3,75.46,75.46,75.46,77.39,77.39,77.39,77.31,77.31,77.31,77.31,77.31,77.27,76.72,17.77
EBAY,62.42,62.42,62.42,62.42,62.67,62.67,62.67,62.67,63.22,63.38,63.38,63.38,63.38,63.38,63.38,63.38,63.38,63.38,63.38,63.38,63.38,63.75,63.65,63.94,63.94,63.94,63.94,63.94,63.96,63.96,63.96,63.96,63.86,63.86,63.86,60.38,20.19
ECL,67.99,67.99,65.93,65.88,65.61,65.61,65.61,65.58,65.58,64.03,64.03,64.03,64.03,64.03,64.03,62.85,62.85,62.85,62.85,61.9,61.24,61.24,61.24,59.95,59.95,59.95,59.46,59.46,60.75,60.75,60.75,60.66,60.66,60.66,60.96,62.27,31.82
EIX,59.81,59.81,59.81,59.81,61.24,61.24,61.24,61.24,61.24,58.74,58.74,58.74,58.74,58.74,58.74,59.6,59.6,59.6,59.6,59.6,59.6,62.84,62.64,62.64,61.44,61.44,61.72,64.57,64.57,64.57,64.57,64.57,64.57,64.77,64.77,65.08,38.22
EW,63.97,63.97,63.97,63.97,64.35,64.35,64.35,66.42,66.42,66.26,66.26,66.26,66.26,66.39,66.39,66.35,65.59,65.59,65.59,65.59,65.59,68.04,70.62,70.87,70.87,71.63,71.06,71.06,71.06,71.06,71.06,71.06,71.06,71.06,71.01,70.06,21.65
EA,45.93,45.93,45.93,45.93,47.63,47.63,47.63,47.63,47.63,48.86,48.86,48.86,48.86,48.86,48.86,48.86,51.64,51.64,51.64,51.64,51.64,51.95,51.95,51.95,51.95,51.95,51.95,51.95,51.95,52.32,52.32,52.32,52.32,52.32,52.32,52.47,14.82
LLY,58.15,58.15,58.15,58.15,58.28,59.63,58.28,59.63,59.63,59.01,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.92,60.92,60.92,57.53,57.61,57.94,57.94,57.94,58.07,58.07,58.07,58.07,58.07,58.07,58.07,58.87,58.87,33.98,33.98
