,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01
MMM,67.71,67.71,67.71,66.42,65.66,65.66,65.66,65.66,65.66,64.21,64.21,64.21,64.21,64.21,63.81,65.84,65.84,65.84,65.84,65.84,65.84,65.84,64.97,65.12,65.12,64.14,64.14,64.54,64.54,64.24,64.24,64.24,64.24,64.24,64.24,34.53,34.53
AOS,46.51,46.51,46.51,46.51,46.51,46.51,46.51,46.51,46.87,47.18,47.18,47.18,47.18,47.18,47.18,47.18,47.18,47.18,47.18,47.18,47.43,47.43,47.33,46.73,46.73,46.73,46.73,46.73,46.73,46.69,46.61,46.61,46.61,46.61,46.61,46.18,25.14
ABT,67.74,67.74,67.74,67.74,67.86,67.06,67.86,67.06,67.06,66.41,66.41,66.41,64.31,64.31,64.31,64.31,64.31,64.31,63.5,63.5,63.5,63.5,63.6,62.57,62.57,62.57,61.87,61.87,61.87,63.07,63.07,63.07,63.07,63.07,63.07,30.62,30.62
ABBV,63.0,63.0,66.13,66.09,66.23,66.23,66.23,66.23,66.23,66.44,66.44,66.44,66.44,66.44,66.47,66.33,66.33,66.33,66.33,66.26,66.26,66.26,64.13,64.13,64.13,64.19,64.19,64.19,64.19,64.19,64.19,65.67,65.67,65.17,65.17,30.35,30.35
ACN,74.58,74.58,74.58,74.58,74.58,74.58,74.58,74.58,74.58,74.18,74.18,74.18,74.18,74.89,74.89,74.89,74.89,74.89,74.89,74.89,74.89,74.76,74.56,74.56,74.56,74.56,74.56,73.76,73.76,73.76,73.76,73.76,73.76,73.71,73.71,15.32,15.32
ATVI,46.86,46.86,46.86,46.86,46.86,46.91,46.86,46.91,46.91,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.37,47.37,47.35,48.08,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,49.0,48.65,16.71
ADM,55.96,55.96,57.08,57.08,57.08,57.08,57.08,57.94,57.94,57.34,57.34,57.34,58.04,58.04,58.04,58.04,58.04,58.04,57.14,57.14,57.14,57.14,56.92,57.99,57.99,57.14,56.24,56.24,56.77,56.2,56.2,58.73,58.73,58.73,58.87,58.29,35.39
ADBE,73.25,73.25,73.25,73.25,73.5,73.5,73.5,67.68,67.68,68.67,68.67,68.67,68.67,68.67,68.67,68.67,68.67,68.67,68.67,68.67,68.67,68.17,68.07,68.25,68.25,68.25,67.03,67.03,67.03,67.03,67.03,69.43,69.43,69.43,69.41,13.44,13.59
ADP,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,52.97,53.95,53.95,53.95,53.95,53.95,53.95,53.95,53.95,53.95,53.95,53.95,53.95,54.93,54.93,54.93,54.93,57.77,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.85,56.75,14.81,14.81
AAP,47.04,47.04,47.04,47.04,47.04,47.04,47.04,47.04,47.04,47.42,47.36,47.36,49.33,49.33,49.33,49.33,49.33,49.33,49.33,49.33,49.33,47.37,47.37,47.37,46.42,46.42,46.42,46.42,46.42,46.42,46.42,46.42,46.42,46.42,46.47,44.92,13.38
AES,68.01,68.01,68.01,66.38,66.92,66.92,66.92,66.06,66.06,64.99,64.99,64.99,64.99,64.99,64.99,64.02,64.02,64.02,64.02,64.02,64.02,63.87,63.97,63.97,63.97,63.97,64.11,64.11,64.11,64.11,64.15,64.15,66.35,66.39,66.14,65.24,33.69
AFL,56.7,56.7,56.7,56.7,57.41,57.41,57.41,57.41,57.41,57.74,57.74,57.74,57.74,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.25,53.47,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.89,53.37,24.38
A,66.25,66.25,66.25,66.25,66.39,66.39,66.39,66.39,66.39,65.76,65.76,65.76,65.76,65.76,64.45,65.58,65.58,65.58,65.58,65.58,65.58,65.58,65.42,65.42,65.42,65.42,65.28,66.53,66.53,66.53,66.53,66.53,66.53,66.47,66.47,66.38,17.52
APD,72.05,72.05,72.05,72.08,70.83,70.83,70.83,70.83,70.83,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.14,69.62,69.62,71.64,71.64,71.64,71.64,72.09,71.14,71.14,71.14,71.14,71.17,71.17,70.35,12.32
AKAM,55.41,55.41,55.41,55.41,56.41,56.41,56.41,56.41,58.12,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,61.25,61.25,61.25,61.25,61.78,61.78,61.78,61.78,61.78,61.78,61.78,62.28,62.28,62.28,62.28,61.11,61.14,20.94
ALB,65.89,65.89,65.89,65.9,64.05,64.05,64.05,64.05,64.05,62.52,62.52,62.52,62.52,62.52,62.52,63.47,63.47,61.47,61.47,61.47,61.47,61.47,61.58,61.58,61.58,61.48,61.42,61.42,61.42,61.38,61.38,61.38,61.38,61.38,58.19,57.82,37.26
ARE,56.01,56.01,56.01,56.01,55.26,55.26,55.26,57.23,57.23,56.58,56.58,56.58,56.58,56.58,56.58,56.58,56.58,56.58,56.58,56.58,56.82,56.82,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73,57.22,57.53,57.53,57.53,57.53,56.63,14.81
ALLE,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,56.26,57.45,57.45,57.45,57.45,57.45,57.45,57.45,57.45,57.45,57.45,55.53,55.53,55.53,55.53,55.53,55.53,55.53,55.53,55.53,55.53,55.53,55.53,55.53,55.96,55.96,55.96,56.75,23.91
LNT,57.82,57.82,57.82,57.82,57.15,57.15,57.15,57.15,57.15,55.79,57.23,57.23,57.19,57.19,57.19,57.19,57.19,57.19,57.19,57.19,57.19,57.41,57.61,58.05,58.05,62.93,63.32,63.32,63.32,63.32,63.32,63.32,63.32,63.32,63.42,63.97,35.42
ALL,59.39,59.39,59.39,59.39,57.97,57.97,57.97,57.92,57.92,59.24,59.24,59.24,59.24,59.26,59.26,59.26,59.26,59.26,59.26,59.26,61.06,62.46,62.38,62.38,62.38,62.38,62.38,62.38,62.38,62.38,62.38,62.38,62.38,62.38,62.36,60.33,21.36
GOOGL,63.38,63.38,63.38,64.13,63.38,63.38,63.38,62.79,62.79,63.37,63.37,63.37,63.37,63.37,63.37,63.05,63.05,63.05,63.05,63.05,63.05,63.05,62.75,62.75,62.75,62.75,63.0,63.61,63.61,63.61,63.61,63.61,63.67,63.67,64.05,29.62,29.62
MO,63.81,63.81,63.81,63.81,63.81,63.81,63.81,61.45,61.45,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.75,60.53,60.53,62.61,62.61,62.61,62.61,62.61,62.58,62.58,62.58,62.01,62.12,62.12,24.75,25.03
AMZN,49.61,49.61,49.61,49.61,49.61,49.61,49.61,47.32,47.32,47.28,47.28,47.28,47.28,47.28,47.28,47.28,47.28,47.28,47.28,45.21,45.21,44.82,45.02,45.02,45.02,45.02,45.17,45.17,45.17,44.87,44.83,44.83,44.83,44.83,49.57,30.57,30.57
AEE,63.93,63.93,63.93,63.93,65.0,65.0,65.0,65.0,63.0,62.83,62.83,62.83,62.83,62.83,62.83,62.83,62.83,62.83,62.83,62.83,62.83,62.63,62.69,63.13,61.86,61.86,61.58,61.58,61.58,61.56,61.56,61.56,61.56,61.56,61.56,60.05,35.92
AAL,50.77,50.77,50.77,50.77,51.02,51.02,51.02,51.02,54.73,52.96,52.96,53.72,53.72,53.72,53.72,53.72,53.72,53.72,53.72,53.72,53.72,53.72,55.32,55.32,55.32,55.32,55.32,55.32,55.29,55.29,55.29,55.24,55.24,55.24,55.24,55.48,31.5
AEP,65.27,65.27,65.27,65.27,66.07,66.07,66.07,69.12,69.12,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.7,68.12,68.12,68.12,68.12,68.12,68.12,67.82,67.82,67.82,67.82,67.82,68.78,68.23,30.58
AXP,56.97,56.97,56.97,56.97,56.35,56.35,56.35,56.35,56.35,57.91,57.91,57.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,56.51,58.33,58.21,58.21,57.54,57.54,57.54,57.71,57.71,57.71,57.71,57.71,58.51,58.51,58.51,22.98,22.98
AIG,52.73,52.73,52.73,52.73,53.73,55.53,53.73,55.48,55.48,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,54.02,53.88,53.88,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,54.18,29.44,29.44
AMT,53.13,53.13,52.53,52.53,52.53,52.53,52.53,52.53,52.53,53.33,53.33,53.33,53.33,53.33,53.33,53.35,53.2,53.2,53.2,53.2,53.2,53.2,52.86,52.86,52.86,52.86,52.86,52.86,52.86,52.86,52.86,52.86,52.56,52.86,52.86,18.11,18.11
AWK,72.86,72.86,72.86,71.81,71.81,71.81,71.81,71.81,71.81,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,70.41,67.89,67.89,67.89,67.89,67.89,68.08,68.08,68.08,67.0,67.22,67.22,67.22,67.22,66.01,29.33
AMP,51.14,51.14,51.14,51.14,51.14,51.14,51.14,51.09,51.09,52.77,52.77,52.77,52.77,52.77,52.77,58.88,58.88,58.88,58.88,58.88,58.88,58.88,58.67,58.67,58.67,58.67,58.67,58.67,57.15,58.28,58.28,58.28,58.28,58.28,57.69,55.58,28.57
ABC,52.34,51.39,51.39,51.39,52.64,52.64,52.64,52.64,52.6,50.71,50.11,50.11,53.92,53.88,53.88,53.88,53.88,53.88,53.88,53.88,53.88,53.88,53.52,53.52,52.67,52.67,52.11,52.11,52.11,54.46,54.16,54.16,54.16,54.39,54.39,53.81,17.92
AME,45.61,45.61,45.61,45.61,45.61,45.61,45.61,45.61,45.61,46.13,46.13,46.14,46.14,46.14,46.11,46.11,46.11,46.11,47.3,47.3,47.3,47.08,47.08,47.08,47.08,47.08,47.08,47.08,47.08,45.23,45.23,45.23,45.23,45.23,45.23,44.16,29.46
AMGN,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.19,57.59,57.59,57.73,57.73,57.73,57.73,57.73,57.73,57.73,57.73,57.73,57.73,59.91,60.36,60.54,60.54,60.51,60.51,60.51,60.51,60.51,60.51,60.51,60.55,60.55,22.47,22.47
APH,52.64,52.64,52.64,52.64,54.55,54.55,54.55,54.55,58.95,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.09,58.29,58.49,58.49,57.89,57.89,57.89,57.89,57.89,57.89,57.89,57.89,57.89,59.19,57.73,24.06
ADI,72.04,72.04,72.04,72.04,72.04,72.04,72.04,72.04,72.04,72.62,72.62,72.62,72.62,72.62,72.62,74.49,74.49,74.49,74.49,74.49,74.49,76.86,76.56,76.56,76.56,76.56,76.56,76.56,76.56,76.56,76.56,76.56,76.56,69.92,69.92,68.99,25.91
ANSS,45.68,45.68,45.68,45.68,45.68,45.68,45.68,45.68,47.94,49.13,49.13,49.12,49.12,49.12,49.12,49.12,49.12,49.12,49.12,49.12,49.12,49.17,48.87,48.87,53.27,53.27,53.27,53.27,53.27,53.27,53.6,53.6,53.6,53.6,53.6,53.45,15.87
AON,55.01,55.01,55.01,56.53,55.22,55.22,55.22,55.22,55.22,56.69,56.69,56.69,56.69,54.04,54.04,54.04,54.04,54.04,54.04,54.04,54.04,54.94,55.89,55.95,55.95,56.2,56.2,56.2,56.15,56.15,56.15,56.15,56.11,56.11,56.5,56.98,23.0
APA,56.9,57.0,64.44,64.44,63.83,63.83,63.83,63.77,63.77,62.88,62.88,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.55,65.98,65.68,65.68,65.68,66.27,66.27,66.27,66.27,66.27,66.27,66.27,68.67,68.67,68.02,37.7
AAPL,67.28,67.28,67.28,67.28,67.28,67.19,67.28,67.19,67.19,67.4,67.4,67.4,68.54,68.54,68.54,68.54,68.54,68.54,68.54,69.33,69.33,69.33,70.63,70.63,70.63,70.63,70.34,70.34,70.34,70.4,70.4,70.28,72.27,72.27,72.27,23.6,23.82
AMAT,64.33,64.33,64.33,64.33,64.88,64.88,64.88,64.88,64.88,66.01,66.01,66.01,66.01,66.01,66.01,66.01,66.01,66.01,66.01,66.01,66.01,66.32,66.02,66.02,66.02,66.02,66.27,66.27,66.27,66.27,66.27,66.52,66.52,66.52,66.52,17.26,17.26
APTV,68.18,68.18,68.18,68.18,68.58,68.58,68.58,68.58,68.62,71.34,71.34,71.34,71.34,71.34,71.34,71.54,71.54,71.54,71.54,71.54,71.54,71.54,71.54,71.49,72.66,72.66,72.63,72.63,72.63,72.63,72.63,72.63,72.63,72.63,72.63,71.64,19.3
AJG,52.05,52.05,52.05,52.05,51.97,51.97,51.97,51.97,51.97,53.73,53.73,53.73,53.73,53.73,53.73,53.78,54.29,54.29,54.29,54.29,54.29,54.77,54.55,54.55,54.55,54.55,53.55,53.55,53.55,53.55,53.55,51.03,51.03,51.03,50.75,48.81,25.05
AIZ,55.87,55.87,52.89,52.89,51.77,51.77,51.77,51.72,51.72,52.18,52.18,52.23,52.23,52.23,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.8,52.8,52.8,52.8,52.95,52.95,54.39,54.59,54.59,54.59,54.59,54.59,54.59,52.3,26.29
T,65.35,65.35,65.35,65.35,65.76,65.76,65.76,67.66,67.66,68.05,68.05,68.05,68.05,68.05,68.05,68.05,68.05,68.05,68.05,68.05,68.05,65.5,65.4,65.32,65.32,65.32,65.32,65.32,65.32,65.32,65.32,65.47,65.47,65.47,64.62,21.34,19.66
ATO,49.74,49.69,49.69,49.69,49.69,49.69,49.69,49.69,47.29,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.59,46.59,46.59,46.59,46.59,52.24,52.24,52.24,52.24,52.18,35.46
ADSK,62.76,62.76,62.76,62.76,61.76,61.76,61.76,61.76,61.76,61.54,61.54,61.54,61.54,61.54,61.54,62.18,62.18,62.18,62.18,62.18,62.18,62.18,61.88,61.88,61.88,61.88,62.88,62.88,62.67,62.67,62.67,62.67,62.94,62.94,62.94,63.26,19.63
AZO,52.57,52.57,52.57,52.57,52.57,52.57,52.57,52.57,52.57,53.5,53.5,53.5,51.68,51.68,51.68,51.68,51.68,51.68,51.68,51.68,50.73,50.85,52.16,52.16,52.16,52.16,52.16,52.16,52.16,52.16,51.16,51.16,51.16,51.36,51.36,50.54,12.17
AVB,63.89,63.89,66.38,66.38,66.92,66.92,66.92,66.92,66.92,66.69,66.69,66.69,66.69,66.69,66.69,66.12,66.12,66.12,66.41,66.41,66.41,66.37,66.21,66.21,66.21,66.21,66.21,66.21,68.1,68.1,68.1,68.04,68.04,68.04,68.04,66.78,12.68
AVY,70.96,70.96,70.96,70.96,70.75,70.75,70.75,69.34,69.34,68.85,68.85,68.85,68.85,68.85,68.85,68.85,68.85,68.85,68.85,68.85,68.85,68.85,68.75,67.83,67.83,67.83,67.83,67.83,67.77,67.77,67.77,67.77,67.77,67.77,67.9,66.84,19.22
BAC,72.52,72.52,72.52,72.52,71.32,71.32,72.52,71.32,71.32,69.53,69.53,69.53,69.53,69.53,69.29,69.61,69.61,69.61,69.61,69.61,69.61,69.61,69.51,69.51,68.87,68.87,70.67,70.67,70.67,70.67,70.67,70.73,70.73,70.73,70.73,27.73,27.73
BAX,72.33,72.33,72.33,72.33,72.58,72.53,72.58,72.49,72.49,71.79,71.79,71.79,71.79,67.47,67.43,67.43,67.43,67.43,67.43,67.43,67.43,67.43,67.13,65.55,65.5,65.5,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,64.69,63.54,28.93
BDX,64.68,64.68,65.43,65.43,64.93,64.93,64.93,64.93,64.93,65.12,65.12,65.12,64.76,64.76,64.76,64.66,64.66,64.66,64.66,64.66,64.66,64.61,64.71,61.72,61.72,61.72,62.09,62.09,62.09,62.09,62.09,62.34,62.34,62.34,62.29,32.94,32.94
WRB,47.41,47.41,47.41,50.99,50.99,50.91,50.99,50.91,50.91,52.19,52.19,52.19,52.19,52.19,51.11,51.11,51.11,51.11,51.11,51.11,51.11,50.77,50.77,50.77,50.77,50.77,49.63,49.63,49.58,49.58,49.52,49.52,49.52,49.52,49.93,50.11,29.25
BBY,67.69,67.69,67.69,67.69,67.94,67.94,67.94,67.61,67.61,67.05,67.05,67.05,67.05,67.05,67.05,67.05,67.05,67.05,67.05,67.05,66.1,66.42,66.32,65.31,65.31,65.31,65.43,65.43,65.43,65.43,65.43,65.58,65.58,65.58,65.58,63.35,11.96
BIO,55.99,55.99,56.38,56.38,56.38,56.38,56.38,56.38,56.38,55.77,55.77,56.52,56.52,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,57.34,57.64,57.64,57.64,57.64,57.64,57.64,57.64,58.48,58.48,59.24,21.59
BIIB,74.33,74.33,73.48,73.48,73.48,73.48,73.48,73.48,72.69,72.45,72.45,70.71,70.44,70.44,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.14,66.34,66.83,66.83,66.97,66.97,66.97,66.94,66.94,66.94,66.94,67.02,67.02,23.51,23.49
BLK,58.17,58.17,58.17,58.17,59.36,59.36,59.36,59.36,59.36,59.06,59.06,59.06,59.06,59.06,59.06,59.06,59.06,59.06,59.06,59.06,59.06,62.4,63.94,63.94,63.94,63.94,63.94,63.94,63.98,63.98,63.98,63.98,63.98,64.15,64.15,23.31,23.31
BK,63.62,63.62,63.62,63.62,63.74,63.74,63.74,64.69,66.97,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.28,67.29,67.35,67.35,67.35,67.97,67.97,67.97,67.97,67.97,67.97,67.97,67.97,67.97,24.76,24.76
BA,54.71,54.71,54.71,54.71,54.71,54.69,54.71,54.69,54.69,54.54,54.54,54.54,54.54,54.54,56.64,56.64,56.64,52.23,52.23,52.23,52.23,52.3,52.3,52.3,52.3,52.3,52.3,51.42,51.72,51.72,51.29,52.28,52.28,52.28,52.28,39.19,39.19
BWA,68.11,68.11,68.11,68.11,68.51,68.51,68.51,68.51,68.51,67.97,67.41,67.41,67.41,67.41,67.41,66.15,66.15,66.15,66.15,66.15,66.15,66.15,65.85,65.85,65.85,65.85,65.85,65.85,65.85,65.85,65.85,66.12,69.62,69.62,69.62,68.94,23.56
BXP,64.06,64.06,65.24,65.21,65.48,65.48,65.48,65.48,65.48,65.46,65.46,65.46,65.46,65.46,65.46,64.74,64.74,64.74,64.74,64.74,65.73,65.73,65.82,65.82,65.82,65.82,65.82,65.82,65.82,65.82,65.82,65.82,66.94,67.37,67.37,66.6,14.35
BSX,64.13,64.13,64.13,64.13,63.51,63.51,63.51,63.51,63.43,64.24,64.24,64.24,64.24,64.24,64.24,64.24,64.24,64.24,64.24,64.24,64.24,64.89,60.9,60.9,60.9,60.9,60.9,59.41,59.41,59.41,59.78,59.78,59.78,59.78,59.73,58.75,34.41
BMY,72.95,72.95,72.95,72.95,73.08,73.08,73.08,73.08,67.96,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,65.36,65.36,65.2,65.2,65.2,65.2,65.2,65.2,65.2,66.26,66.26,66.26,66.26,68.81,68.75,27.71,27.71
BR,52.39,52.39,52.39,52.39,52.89,52.89,52.89,52.89,52.89,52.47,52.47,52.47,52.47,52.47,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,49.84,49.84,50.19,50.19,50.19,50.19,48.98,19.8
BRO,49.44,49.44,49.44,49.63,49.63,49.63,49.63,49.63,49.63,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,50.54,51.92,23.89
CHRW,45.66,45.66,45.66,45.66,46.34,46.34,46.34,46.34,46.34,47.59,47.59,47.59,47.59,47.22,47.22,47.22,47.22,47.22,47.22,47.18,47.18,47.18,47.18,47.18,46.61,46.57,47.07,47.29,47.29,47.29,47.29,47.29,47.29,47.29,47.29,45.36,25.91
CDNS,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.77,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.28,50.56,50.13,50.13,50.13,50.13,50.13,50.13,50.13,50.13,50.13,50.13,54.14,54.21,17.33
CPT,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,47.04,47.2,47.2,47.2,47.2,46.96,46.96,46.96,46.96,46.56,46.56,46.56,46.56,46.56,46.56,52.09,52.09,52.23,50.04,18.19
CPB,77.05,77.05,77.05,77.05,76.74,76.74,76.74,76.74,76.74,73.82,73.82,76.66,76.66,76.66,76.66,76.66,76.66,76.66,76.66,76.66,76.1,76.1,75.02,75.45,75.45,75.45,73.71,73.43,73.01,72.79,72.79,72.79,72.79,72.79,72.79,71.15,24.36
COF,55.21,55.21,55.21,55.21,55.33,55.33,55.33,55.33,55.33,57.13,57.13,57.13,57.13,57.13,57.13,57.13,57.13,57.13,57.13,57.13,57.13,55.63,55.27,55.27,55.27,55.27,55.27,55.45,55.45,55.45,55.27,55.27,51.68,51.68,51.68,26.0,26.0
CAH,56.97,56.97,56.97,56.97,57.1,57.1,57.1,57.1,57.1,54.99,54.35,54.35,54.35,55.97,55.97,55.97,55.97,55.97,55.97,55.93,55.93,55.93,59.15,59.65,59.65,59.65,59.6,59.6,59.6,59.82,59.82,59.82,59.82,59.82,59.82,58.85,16.34
KMX,50.37,50.37,50.37,50.37,50.37,50.37,50.37,47.82,47.82,47.59,47.59,47.59,47.59,47.59,47.59,47.59,47.59,47.59,47.59,47.59,47.85,47.85,47.85,47.85,47.85,47.85,47.85,47.85,47.85,47.85,47.88,47.88,47.88,47.88,47.88,47.07,13.44
CCL,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,61.26,61.26,62.16,60.12,60.12,60.12,60.12,60.12,60.12,60.12,60.12,60.12,60.12,60.22,60.22,60.51,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.68,20.1,20.1
